CONTA 	NEst 	Stand 	Compar 	TR
1 	29 	250 	86 	15.49
2 	25 	150 	45 	11.20
3 	35 	150 	98 	10.95
4 	23 	100 	49 	12.65
5 	30 	25 	19 	17.42
6 	20 	25 	9 	9.80
7 	22 	75 	74 	19.27
8 	29 	250 	100 	10.70
9 	37 	200 	86 	12.06
10 	3 	100 	58 	10.57
11 	31 	50 	42 	13.00
12 	17 	200 	88 	10.34
13 	31 	50 	33 	7.16
14 	7 	200 	58 	8.34
15 	21 	50 	27 	15.62
16 	6 	175 	34 	9.27
17 	21 	50 	26 	6.71
18 	27 	200 	60 	8.52
19 	37 	200 	73 	8.72
20 	27 	200 	49 	12.13
21 	18 	225 	87 	19.88
22 	27 	200 	128 	15.13
23 	34 	125 	87 	10.11
24 	25 	150 	58 	11.65
25 	16 	175 	69 	9.80
26 	34 	125 	58 	8.78
27 	25 	150 	32 	7.00
28 	10 	25 	54 	11.42
29 	17 	200 	130 	10.22
30 	12 	75 	53 	8.85
31 	16 	175 	108 	8.67
32 	3 	100 	58 	9.95
33 	7 	200 	85 	9.57
34 	33 	100 	68 	10.09
35 	21 	50 	25 	7.89
36 	3 	100 	23 	6.48
37 	22 	75 	27 	6.91
38 	0 	25 	19 	6.63
39 	0 	25 	16 	6.50
40 	28 	225 	97 	9.88
41 	28 	225 	91 	14.41
42 	28 	225 	95 	11.51
43 	19 	250 	124 	12.35
44 	11 	50 	38 	8.58
45 	13 	100 	51 	12.33
46 	22 	75 	24 	7.63
47 	31 	50 	23 	7.18
48 	17 	200 	80 	13.45
49 	18 	225 	207 	23.25
50 	1 	50 	40 	12.16
51 	34 	125 	42 	8.44
52 	1 	50 	19 	14.88
53 	16 	175 	53 	9.58
54 	14 	125 	40 	7.64
55 	39 	250 	237 	20.89
56 	32 	75 	54 	7.07
57 	9 	250 	225 	22.65
58 	9 	250 	244 	17.78
59 	29 	250 	171 	21.12
60 	5 	150 	74 	12.81
61 	30 	25 	70 	7.72
62 	24 	125 	22 	9.94
63 	4 	125 	56 	24.26
64 	12 	75 	68 	8.57
65 	32 	75 	86 	10.85
66 	37 	200 	109 	8.52
67 	1 	50 	42 	16.24
68 	33 	100 	106 	14.94
69 	23 	100 	76 	23.55
70 	35 	150 	80 	11.06
71 	18 	225 	177 	13.71
72 	10 	25 	48 	13.21
73 	2 	75 	67 	9.25
74 	7 	200 	119 	11.36
75 	33 	100 	101 	5.34
76 	11 	50 	71 	7.43
77 	5 	150 	74 	6.77
78 	19 	250 	213 	8.90
79 	38 	225 	193 	17.35
80 	5 	150 	80 	6.60
81 	6 	175 	76 	6.59
82 	14 	125 	68 	7.76
83 	20 	25 	25 	13.02
84 	24 	125 	37 	7.69
85 	9 	250 	115 	8.77
86 	0 	25 	0 	7.26
87 	14 	125 	46 	10.55
88 	6 	175 	48 	9.41
89 	36 	175 	121 	6.50
90 	15 	150 	108 	5.90
91 	24 	125 	52 	5.43
92 	4 	125 	63 	4.56
93 	38 	225 	178 	32.72
94 	36 	175 	153 	5.75
95 	11 	50 	48 	5.50
96 	38 	225 	144 	10.52
97 	20 	25 	20 	4.52
98 	30 	25 	19 	5.69
99 	32 	75 	35 	8.92
100 	36 	175 	175 	17.06
101 	13 	100 	49 	5.94
102 	23 	100 	55 	5.17
103 	19 	250 	140 	5.99
104 	12 	75 	69 	8.82
105 	15 	150 	100 	10.32
106 	15 	150 	104 	9.74
107 	39 	250 	215 	12.43
108 	13 	100 	101 	7.72
109 	35 	150 	165 	14.84
110 	2 	75 	104 	20.03
111 	4 	125 	48 	6.72
112 	39 	250 	241 	20.55
113 	10 	25 	13 	6.69
114 	8 	225 	174 	13.49
115 	2 	75 	7 	5.79
116 	26 	175 	46 	9.61
117 	26 	175 	170 	15.32
118 	26 	175 	132 	8.49
119 	8 	225 	147 	6.66
120 	8 	225 	169 	10.76
