CONTA 	NEst 	Stand 	Compar 	TR
1 	21 	50 	74 	11.30
2 	27 	200 	99 	12.66
3 	20 	25 	27 	8.52
4 	30 	25 	27 	15.57
5 	32 	75 	89 	7.61
6 	8 	225 	118 	24.67
7 	20 	25 	29 	24.97
8 	34 	125 	129 	11.84
9 	27 	200 	91 	14.24
10 	22 	75 	180 	26.25
11 	11 	50 	92 	22.20
12 	24 	125 	131 	12.25
13 	4 	125 	103 	10.09
14 	16 	175 	213 	15.15
15 	3 	100 	87 	18.08
16 	22 	75 	162 	11.74
17 	29 	250 	186 	18.14
18 	21 	50 	110 	10.86
19 	37 	200 	92 	11.05
20 	20 	25 	80 	9.60
21 	31 	50 	115 	7.79
22 	34 	125 	111 	15.03
23 	37 	200 	212 	8.00
24 	4 	125 	175 	9.49
25 	19 	250 	236 	8.84
26 	3 	100 	155 	12.27
27 	15 	150 	179 	8.60
28 	29 	250 	223 	16.66
29 	6 	175 	178 	7.83
30 	13 	100 	176 	8.29
31 	4 	125 	179 	7.30
32 	33 	100 	152 	6.02
33 	19 	250 	233 	14.13
34 	32 	75 	113 	15.54
35 	31 	50 	77 	10.35
36 	10 	25 	10 	7.16
37 	7 	200 	168 	13.73
38 	8 	225 	130 	22.75
39 	21 	50 	162 	11.75
40 	33 	100 	121 	6.94
41 	30 	25 	48 	6.68
42 	11 	50 	125 	8.70
43 	1 	50 	111 	12.86
44 	31 	50 	111 	8.00
45 	28 	225 	210 	8.23
46 	26 	175 	188 	13.41
47 	2 	75 	113 	9.09
48 	6 	175 	231 	7.94
49 	25 	150 	211 	10.22
50 	30 	25 	19 	11.14
51 	13 	100 	174 	8.58
52 	14 	125 	201 	10.71
53 	33 	100 	192 	9.28
54 	29 	250 	210 	8.57
55 	14 	125 	229 	14.16
56 	11 	50 	203 	9.88
57 	25 	150 	143 	15.39
58 	38 	225 	255 	5.82
59 	39 	250 	236 	7.19
60 	15 	150 	245 	9.58
61 	1 	50 	138 	8.92
62 	27 	200 	225 	12.38
63 	16 	175 	189 	14.61
64 	0 	25 	62 	10.21
65 	36 	175 	220 	5.39
66 	34 	125 	214 	10.42
67 	38 	225 	247 	10.07
68 	36 	175 	126 	10.15
69 	26 	175 	186 	10.48
70 	26 	175 	215 	33.60
71 	13 	100 	214 	11.26
72 	6 	175 	229 	6.18
73 	28 	225 	229 	13.27
74 	10 	25 	107 	28.05
75 	19 	250 	236 	7.43
76 	0 	25 	68 	8.96
77 	39 	250 	242 	7.95
78 	1 	50 	14 	6.72
79 	39 	250 	109 	9.35
80 	18 	225 	217 	12.07
81 	8 	225 	118 	7.27
82 	5 	150 	23 	5.63
83 	17 	200 	199 	8.66
84 	5 	150 	174 	10.98
85 	0 	25 	10 	8.83
86 	36 	175 	206 	32.77
87 	7 	200 	201 	12.71
88 	37 	200 	218 	7.06
89 	17 	200 	219 	6.15
90 	32 	75 	107 	5.63
91 	35 	150 	208 	12.78
92 	15 	150 	174 	9.70
93 	22 	75 	55 	6.18
94 	7 	200 	176 	10.27
95 	14 	125 	209 	8.74
96 	23 	100 	188 	21.14
97 	16 	175 	248 	7.72
98 	12 	75 	155 	6.40
99 	12 	75 	35 	7.43
100 	23 	100 	68 	13.02
101 	10 	25 	90 	9.81
102 	18 	225 	217 	7.36
103 	28 	225 	213 	9.20
104 	38 	225 	235 	7.38
105 	35 	150 	164 	9.79
106 	24 	125 	121 	5.07
107 	9 	250 	210 	10.77
108 	12 	75 	55 	6.12
109 	24 	125 	201 	11.12
110 	18 	225 	246 	11.23
111 	25 	150 	202 	10.54
112 	5 	150 	135 	6.45
113 	35 	150 	196 	9.08
114 	3 	100 	182 	10.96
115 	23 	100 	152 	5.73
116 	17 	200 	156 	5.31
117 	2 	75 	175 	7.12
118 	9 	250 	255 	5.63
119 	9 	250 	246 	8.38
120 	2 	75 	140 	11.66
