CONTA 	NEst 	Stand 	Compar 	TR
1 	19 	250 	237 	9.53
2 	36 	175 	98 	6.00
3 	2 	75 	118 	4.68
4 	25 	150 	131 	7.08
5 	7 	200 	148 	3.76
6 	10 	25 	15 	13.18
7 	29 	250 	208 	5.29
8 	4 	125 	181 	8.36
9 	34 	125 	114 	3.75
10 	3 	100 	87 	7.15
11 	19 	250 	229 	7.46
12 	36 	175 	168 	4.58
13 	17 	200 	198 	4.85
14 	37 	200 	180 	7.30
15 	14 	125 	103 	8.18
16 	22 	75 	95 	4.49
17 	11 	50 	66 	6.63
18 	2 	75 	110 	5.04
19 	6 	175 	160 	3.69
20 	0 	25 	13 	8.36
21 	2 	75 	73 	4.78
22 	12 	75 	59 	3.96
23 	24 	125 	108 	3.85
24 	33 	100 	88 	3.45
25 	8 	225 	229 	6.31
26 	35 	150 	102 	8.87
27 	17 	200 	146 	9.13
28 	8 	225 	159 	3.79
29 	16 	175 	126 	4.45
30 	36 	175 	100 	3.79
31 	28 	225 	180 	5.19
32 	22 	75 	84 	5.47
33 	16 	175 	163 	5.69
34 	5 	150 	118 	4.85
35 	4 	125 	99 	3.21
36 	32 	75 	79 	3.97
37 	26 	175 	126 	5.19
38 	20 	25 	25 	5.12
39 	12 	75 	106 	5.61
40 	18 	225 	229 	4.05
41 	23 	100 	93 	4.31
42 	3 	100 	95 	3.84
43 	38 	225 	234 	5.76
44 	7 	200 	231 	3.91
45 	30 	25 	26 	4.76
46 	28 	225 	171 	4.53
47 	0 	25 	6 	2.51
48 	26 	175 	203 	5.62
49 	6 	175 	177 	4.82
50 	22 	75 	56 	6.62
51 	28 	225 	177 	4.92
52 	0 	25 	23 	6.28
53 	20 	25 	47 	8.73
54 	38 	225 	189 	5.77
55 	19 	250 	175 	3.53
56 	38 	225 	235 	5.56
57 	32 	75 	67 	4.84
58 	10 	25 	24 	6.38
59 	31 	50 	52 	3.91
60 	7 	200 	176 	5.42
61 	25 	150 	167 	3.94
62 	13 	100 	90 	3.93
63 	37 	200 	153 	4.31
64 	29 	250 	212 	3.27
65 	14 	125 	157 	5.74
66 	14 	125 	134 	4.88
67 	12 	75 	104 	3.72
68 	20 	25 	26 	77.75
69 	23 	100 	84 	3.22
70 	9 	250 	164 	2.86
71 	6 	175 	128 	2.96
72 	17 	200 	117 	3.04
73 	26 	175 	140 	3.66
74 	13 	100 	78 	2.77
75 	16 	175 	169 	4.25
76 	8 	225 	206 	5.90
77 	31 	50 	55 	3.61
78 	18 	225 	236 	4.11
79 	27 	200 	236 	3.19
80 	18 	225 	192 	4.29
81 	13 	100 	87 	2.93
82 	11 	50 	38 	5.50
83 	9 	250 	214 	4.41
84 	10 	25 	9 	2.13
85 	25 	150 	146 	4.32
86 	3 	100 	99 	3.07
87 	27 	200 	148 	3.41
88 	15 	150 	171 	4.57
89 	37 	200 	189 	3.00
90 	29 	250 	196 	4.74
91 	30 	25 	19 	4.89
92 	32 	75 	78 	3.24
93 	31 	50 	37 	2.89
94 	5 	150 	68 	23.31
95 	9 	250 	162 	2.94
96 	21 	50 	67 	3.22
97 	1 	50 	46 	79.51
98 	39 	250 	234 	3.56
99 	30 	25 	29 	2.93
100 	27 	200 	143 	4.28
101 	1 	50 	42 	4.48
102 	35 	150 	94 	3.08
103 	4 	125 	130 	4.78
104 	23 	100 	72 	2.97
105 	39 	250 	224 	3.69
106 	11 	50 	46 	5.74
107 	15 	150 	102 	4.97
108 	35 	150 	99 	3.41
109 	39 	250 	252 	4.16
110 	5 	150 	92 	3.63
111 	15 	150 	190 	4.12
112 	1 	50 	85 	3.55
113 	24 	125 	122 	3.29
114 	34 	125 	117 	3.82
115 	33 	100 	87 	2.48
116 	34 	125 	89 	3.01
117 	33 	100 	88 	4.07
118 	24 	125 	101 	2.90
119 	21 	50 	56 	4.68
