"CONTA" "NEst" "Stand" "Compar" "TR" "id"
"1" 1 29 86 250 15.49 3
"2" 2 25 45 150 11.2 3
"3" 3 35 98 150 10.95 3
"4" 4 23 49 100 12.65 3
"5" 5 30 19 25 17.42 3
"6" 6 20 9 25 9.8 3
"7" 7 22 74 75 19.27 3
"8" 8 29 100 250 10.7 3
"9" 9 37 86 200 12.06 3
"10" 10 3 58 100 10.57 3
"11" 11 31 42 50 13 3
"12" 12 17 88 200 10.34 3
"13" 13 31 33 50 7.16 3
"14" 14 7 58 200 8.34 3
"15" 15 21 27 50 15.62 3
"16" 16 6 34 175 9.27 3
"17" 17 21 26 50 6.71 3
"18" 18 27 60 200 8.52 3
"19" 19 37 73 200 8.72 3
"20" 20 27 49 200 12.13 3
"21" 21 18 87 225 19.88 3
"22" 22 27 128 200 15.13 3
"23" 23 34 87 125 10.11 3
"24" 24 25 58 150 11.65 3
"25" 25 16 69 175 9.8 3
"26" 26 34 58 125 8.78 3
"27" 27 25 32 150 7 3
"28" 28 10 54 25 11.42 3
"29" 29 17 130 200 10.22 3
"30" 30 12 53 75 8.85 3
"31" 31 16 108 175 8.67 3
"32" 32 3 58 100 9.95 3
"33" 33 7 85 200 9.57 3
"34" 34 33 68 100 10.09 3
"35" 35 21 25 50 7.89 3
"36" 36 3 23 100 6.48 3
"37" 37 22 27 75 6.91 3
"38" 38 0 19 25 6.63 3
"39" 39 0 16 25 6.5 3
"40" 40 28 97 225 9.88 3
"41" 41 28 91 225 14.41 3
"42" 42 28 95 225 11.51 3
"43" 43 19 124 250 12.35 3
"44" 44 11 38 50 8.58 3
"45" 45 13 51 100 12.33 3
"46" 46 22 24 75 7.63 3
"47" 47 31 23 50 7.18 3
"48" 48 17 80 200 13.45 3
"49" 49 18 207 225 23.25 3
"50" 50 1 40 50 12.16 3
"51" 51 34 42 125 8.44 3
"52" 52 1 19 50 14.88 3
"53" 53 16 53 175 9.58 3
"54" 54 14 40 125 7.64 3
"55" 55 39 237 250 20.89 3
"56" 56 32 54 75 7.07 3
"57" 57 9 225 250 22.65 3
"58" 58 9 244 250 17.78 3
"59" 59 29 171 250 21.12 3
"60" 60 5 74 150 12.81 3
"61" 61 30 70 25 7.72 3
"62" 62 24 22 125 9.94 3
"63" 63 4 56 125 24.26 3
"64" 64 12 68 75 8.57 3
"65" 65 32 86 75 10.85 3
"66" 66 37 109 200 8.52 3
"67" 67 1 42 50 16.24 3
"68" 68 33 106 100 14.94 3
"69" 69 23 76 100 23.55 3
"70" 70 35 80 150 11.06 3
"71" 71 18 177 225 13.71 3
"72" 72 10 48 25 13.21 3
"73" 73 2 67 75 9.25 3
"74" 74 7 119 200 11.36 3
"75" 75 33 101 100 5.34 3
"76" 76 11 71 50 7.43 3
"77" 77 5 74 150 6.77 3
"78" 78 19 213 250 8.9 3
"79" 79 38 193 225 17.35 3
"80" 80 5 80 150 6.6 3
"81" 81 6 76 175 6.59 3
"82" 82 14 68 125 7.76 3
"83" 83 20 25 25 13.02 3
"84" 84 24 37 125 7.69 3
"85" 85 9 115 250 8.77 3
"86" 86 0 0 25 7.26 3
"87" 87 14 46 125 10.55 3
"88" 88 6 48 175 9.41 3
"89" 89 36 121 175 6.5 3
"90" 90 15 108 150 5.9 3
"91" 91 24 52 125 5.43 3
"92" 92 4 63 125 4.56 3
"93" 93 38 178 225 32.72 3
"94" 94 36 153 175 5.75 3
"95" 95 11 48 50 5.5 3
"96" 96 38 144 225 10.52 3
"97" 97 20 20 25 4.52 3
"98" 98 30 19 25 5.69 3
"99" 99 32 35 75 8.92 3
"100" 100 36 175 175 17.06 3
"101" 101 13 49 100 5.94 3
"102" 102 23 55 100 5.17 3
"103" 103 19 140 250 5.99 3
"104" 104 12 69 75 8.82 3
"105" 105 15 100 150 10.32 3
"106" 106 15 104 150 9.74 3
"107" 107 39 215 250 12.43 3
"108" 108 13 101 100 7.72 3
"109" 109 35 165 150 14.84 3
"110" 110 2 104 75 20.03 3
"111" 111 4 48 125 6.72 3
"112" 112 39 241 250 20.55 3
"113" 113 10 13 25 6.69 3
"114" 114 8 174 225 13.49 3
"115" 115 2 7 75 5.79 3
"116" 116 26 46 175 9.61 3
"117" 117 26 170 175 15.32 3
"118" 118 26 132 175 8.49 3
"119" 119 8 147 225 6.66 3
"120" 120 8 169 225 10.76 3
