Assaig 	Claro 	Asign 	Temps
1 	3 	5 	10.095
2 	9 	9 	13.800
3 	4 	5 	3.906
4 	7 	7 	5.078
5 	3 	4 	7.487
6 	0 	1 	3.262
7 	0 	1 	3.874
8 	4 	4 	6.076
9 	3 	3 	4.239
10 	8 	9 	2.616
11 	8 	9 	1.985
12 	7 	8 	2.629
13 	2 	4 	8.148
14 	3 	5 	2.365
15 	7 	8 	3.284
16 	1 	1 	3.125
17 	7 	8 	2.682
18 	0 	1 	6.782
19 	5 	5 	3.352
20 	3 	4 	2.341
21 	0 	1 	2.108
22 	7 	8 	3.048
23 	9 	9 	1.971
24 	4 	6 	5.869
25 	0 	1 	7.656
26 	4 	5 	5.448
27 	6 	6 	2.207
28 	2 	3 	3.081
29 	2 	3 	3.931
30 	9 	9 	2.824
31 	8 	8 	1.863
32 	4 	5 	3.107
33 	5 	6 	3.639
34 	1 	2 	5.192
35 	8 	8 	2.627
36 	5 	5 	5.822
37 	9 	9 	2.637
38 	1 	2 	4.361
39 	6 	7 	5.126
40 	9 	9 	2.753
41 	6 	7 	4.929
42 	1 	2 	3.891
43 	1 	2 	3.060
44 	8 	9 	4.823
45 	5 	6 	3.958
46 	6 	6 	2.039
47 	6 	6 	2.629
48 	2 	4 	3.099
49 	2 	4 	2.211
50 	5 	5 	2.341
